Keytag,"Stock No","Reg No","Reg Date",Make,Model,Variant,Colour,Mileage,Body,Doors,Fuel,Gbox,FSH,RFL,MOT,Price,Status,"Location "
0,R0218,ENQUIRY,05/10/2018,"AA CAR UNKNOWN AA","CAR UNKNOWN","USE THIS FOR UNKNOWN STOCK ITEM  "," ",0,"Not set",0,Petrol,other,N,,05/10/2021,"10000.00 comm","Subject to","With Supplier",ACTIONSEditEXPEnq/SellInfoSmanImages
0,R0461,RF66UBC,09/12/2016,AUDI,A7,"3.0 TDI V6 ultra S line Sportback S Tronic 220 BHP Euro 6 ULEZ Free   ",BLACK,95986,Saloon,5,Diesel,Auto,N,165.00,14/11/2026,11999.00,"In Stock","Stanmore Retail",ACTIONSEditEXPEnq/SellInfoSmanImages
0,11064,CU21NBO,31/03/2021,BMW,"R SERIES","1254cc R 1250 GS ADVENTURE TE 134 BHP  ",BLACK,0,"Not set",0,Petrol,Manual,N,345.00,31/03/2024,5000.00,"In Stock","Stanmore 2",ACTIONSEditEXPEnq/SellInfoSmanImages
0,12672,BP21GYK,28/05/2021,BMW,"3 SERIES","2.0 320D SE PRO MHEV 4d AUTO 188 BHP  ",BLUE,20089,Saloon,4,"Elec D",Auto,N,,27/06/2025,"0.00 comm","Off-site R",ACL,ACTIONSEditEXPEnq/SellInfoSmanImages
0,11332,LM61YPN,10/11/2011,CHEVROLET,SPARK,"1.0 PLUS 70 BHP Petrol   ",RED,67552,Hatchback,5,Petrol,Manual,N,35.00,06/07/2026,2990.00,"In Stock","Stanmore Retail",ACTIONSEditEXPEnq/SellInfoSmanImages
0,14245,WV72CVW,30/11/2022,CITROEN,DISPATCH,"1.5 BlueHDi 1000 X Pro M FWD 100 BHP Euro 6 ULEZ Free   ",WHITE,85928,"PANEL VAN",6,Diesel,Manual,N,345.00,29/11/2026,"8490.00 comm","In Stock","Stanmore Retail",ACTIONSEditEXPEnq/SellInfoSmanImages
0,14222,KJ24ZSO,31/07/2024,CITROEN,DISPATCH,"1.5 BlueHDi Driver XL Panel Van 6dr Diesel Manual LWB Euro 6 (s/s) (120 ps)  ",WHITE,31673,"PANEL VAN",6,Diesel,Manual,N,345.00,31/07/2027,"0.00 comm","In Transit","Stanmore Retail",ACTIONSEditEXPEnq/SellInfoSmanImages
0,14100,SY71VVA,28/10/2021,CITROEN,BERLINGO,"1.5 BlueHDi 650 Enterprise M Pro Panel Van 5dr Diesel Manual SWB Euro 6 (75 ps)  ",WHITE,44224,"PANEL VAN",5,Diesel,Manual,N,345.00,27/10/2026,"0.00 comm","In Stock","With Supplier",ACTIONSEditEXPEnq/SellInfoSmanImages
0,14102,SL71TZU,28/10/2021,CITROEN,BERLINGO,"1.5 BlueHDi 650 Enterprise M Pro Panel Van 5dr Diesel Manual SWB Euro 6 (75 ps)  ",WHITE,67021,"PANEL VAN",5,Diesel,Manual,N,345.00,28/10/2026,"0.00 comm","In Stock","Stanmore Retail",ACTIONSEditEXPEnq/SellInfoSmanImages
0,14103,SY71VZJ,05/11/2021,CITROEN,BERLINGO,"1.5 BlueHDi 650 Enterprise M Pro Panel Van 5dr Diesel Manual SWB Euro 6 (75 ps)  ",WHITE,36900,"PANEL VAN",5,Diesel,Manual,N,345.00,25/11/2026,"0.00 comm","In Stock","Stanmore Retail",ACTIONSEditEXPEnq/SellInfoSmanImages
0,14104,SY71VKV,28/10/2021,CITROEN,BERLINGO,"1.5 BlueHDi 650 Enterprise M Pro Panel Van 5dr Diesel Manual SWB Euro 6 (75 ps)  ",WHITE,52530,"PANEL VAN",5,Diesel,Manual,N,345.00,19/01/2027,"0.00 comm","In Stock","Stanmore Retail",ACTIONSEditEXPEnq/SellInfoSmanImages
0,14224,SL71LHN,28/10/2021,CITROEN,BERLINGO,"1.5 BlueHDi 650 Enterprise M Pro 75 BHP SWB Euro 6 ULEZ Free   ",WHITE,90887,"PANEL VAN",5,Diesel,Manual,N,345.00,30/10/2026,"5990.00 comm","In Stock","Stanmore Retail",ACTIONSEditEXPEnq/SellInfoSmanImages
